station,utmn,utme,latitude,longitude
36,147.4,582.7,37.472,-122.065
35,148.3,581.3,37.480,-122.080
34,150.0,580.1,37.495,-122.093
33,151.4,577.6,37.508,-122.122
32,152.5,576.6,37.518,-122.133
31,153.6,574.4,37.528,-122.158
30,156.5,571.5,37.555,-122.190
29,159.3,566.7,37.580,-122.245
28,161.7,564.4,37.602,-122.270
27,163.5,562.5,37.618,-122.292
26,165.3,560.6,37.635,-122.313
25,169.2,559.5,37.670,-122.325
24,172.3,558.3,37.698,-122.338
23,175.7,558.5,37.728,-122.337
22,179.7,556.5,37.765,-122.358
21,182.3,556.5,37.788,-122.358
18,188.8,550.9,37.847,-122.422
16,196.3,548.6,37.915,-122.447
15,203.0,549.5,37.975,-122.437
14,206.5,552.2,38.007,-122.405
13,208.9,555.3,38.028,-122.370
12,211.6,560.4,38.052,-122.312
11,212.7,564.6,38.062,-122.263
10,212.6,569.5,38.060,-122.208
9,211.5,572.5,38.050,-122.173
8,209.3,574.5,38.030,-122.152
7,211.4,579.3,38.048,-122.097
6,213.3,584.7,38.065,-122.035
5,212.8,589.5,38.060,-121.980
4,211.5,593.4,38.048,-121.935
3,211.8,598.4,38.050,-121.878
2,213.3,600.4,38.063,-121.855
649,213.1,605.3,38.062,-121.800
653,218.0,612.2,38.105,-121.720
655,219.9,613.8,38.122,-121.702
657,222.9,614.9,38.148,-121.688
