,Unnamed: 0,Station_Number,lat,lon,Comments,new_lat,new_lon,order,d_from_start
34,35,36.0,37.471667,-122.066667,,37.47166667,-122.0665,1,0.16174241326137703
33,34,35.0,37.48,-122.078333,,37.48,-122.0783333,2,1.5585252899857185
32,32,34.0,37.495,-122.093333,location 1/21/2016 ,37.49516667,-122.0948333,3,3.786291742666084
31,31,33.0,37.508333,-122.121667,,37.5085,-122.1213333,4,6.557673055619878
30,30,32.0,37.518333,-122.133333,,37.5185,-122.1333333,5,8.093041723731616
29,29,31.0,37.528333,-122.158333,,37.529,-122.1576667,6,10.539452969928064
28,28,30.0,37.555,-122.19,,37.55483333,-122.1901667,7,14.597826570457126
27,27,29.5,37.568333,-122.21833,,37.56866667,-122.2181667,8,17.50940764830152
26,26,29.0,37.58,-122.245,,37.5805,-122.2448333,9,20.206452209904867
25,25,28.0,37.601667,-122.27,,37.6015,-122.2701667,10,23.43730342624363
24,24,27.0,37.618333,-122.291667,,37.6185,-122.2915,11,26.103415589290872
23,23,26.0,37.636667,-122.313333,,37.63616667,-122.3143333,12,28.915439563265625
22,22,25.0,37.67,-122.325,,37.67,-122.3246667,13,32.779727034364655
21,21,24.0,37.698333,-122.338333,,37.69866667,-122.3378333,14,36.16679542485042
20,20,23.0,37.728333,-122.336667,,37.72833333,-122.34,15,39.46506708095796
19,19,22.0,37.765,-122.358333,,37.765,-122.3583333,16,43.84378549373409
18,18,21.0,37.788333,-122.358333,,37.788,-122.3598333,17,46.400025318898685
17,17,20.0,37.82,-122.393333,,37.81983333,-122.3933333,18,51.00303520783636
16,16,18.0,37.846667,-122.421667,,37.84466667,-122.4216667,19,54.72038158370784
15,15,17.0,37.878333,-122.421667,,37.8785,-122.4213333,20,58.47578804422602
14,14,16.0,37.916667,-122.446667,,37.9165,-122.4468333,21,63.252828004188494
13,13,15.0,37.973333,-122.436667,,37.97316667,-122.4366667,22,69.60573413578322
12,12,14.0,38.006667,-122.405,,38.007,-122.4058333,23,74.2359622205427
11,11,13.0,38.028333,-122.37,,38.02866667,-122.3703333,24,78.1731230992001
10,10,12.0,38.051667,-122.311667,,38.05166667,-122.3115,25,83.93429754962892
9,9,11.0,38.06,-122.266667,,38.05983333,-122.2666667,26,87.97219790711081
8,8,10.0,38.06,-122.208333,,38.06016667,-122.2083333,27,93.09172036356715
7,7,9.0,38.056667,-122.185,,38.057,-122.1855,28,95.12622184706784
6,6,8.0,38.03,-122.151667,,38.02983333,-122.1516667,29,99.35861593821248
5,5,7.0,38.048333,-122.096667,,38.04866667,-122.0968333,30,104.60652676091095
4,4,6.0,38.065,-122.035,,38.0645,-122.0358333,31,110.24127175410092
3,3,5.0,38.06,-121.98,,38.05983333,-121.98,32,115.16840886616382
2,2,4.0,38.048333,-121.935,,38.0485,-121.935,33,119.31346021708384
1,1,3.0,38.051667,-121.88,,38.05116667,-121.88,34,124.15004043494486
0,0,2.0,38.063333,-121.851667,,38.06383333,-121.852,35,126.98120628341441
35,36,649.0,38.06,-121.8,,38.06066667,-121.8005,36,131.51439908436865
36,37,653.0,38.105,-121.72,,38.10516667,-121.72,37,140.13282869303856
37,38,657.0,38.151667,-121.688333,,38.15183333,-121.6888333,38,145.98939072093765
